"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 20:11:23 CST 2019","Thu Apr 11 20:11:23 CST 2019","0","scripts","test_setup&teardown_clas","testPy","","","test_click",""
"passed","Thu Apr 11 20:33:37 CST 2019","Thu Apr 11 20:33:37 CST 2019","1","scripts","test_setup&teardown_func","","","","test_login",""
"failed","Thu Apr 11 20:33:37 CST 2019","Thu Apr 11 20:33:37 CST 2019","0","scripts","test_setup&teardown_clas","TestPy","","","test_login",""
"passed","Thu Apr 11 20:33:37 CST 2019","Thu Apr 11 20:33:37 CST 2019","0","scripts","test_setup&teardown_clas","TestPy","","","test_click",""
"passed","Thu Apr 11 20:33:37 CST 2019","Thu Apr 11 20:33:37 CST 2019","0","scripts","test_setup&teardown_func","","","","test_move",""
"passed","Thu Apr 11 20:11:23 CST 2019","Thu Apr 11 20:11:23 CST 2019","0","scripts","test_setup&teardown_clas","testPy","","","test_qwe",""
"passed","Thu Apr 11 20:33:37 CST 2019","Thu Apr 11 20:33:37 CST 2019","1","scripts","test_setup&teardown_func","","","","test_qwe",""
"failed","Thu Apr 11 20:11:23 CST 2019","Thu Apr 11 20:11:23 CST 2019","0","scripts","test_setup&teardown_clas","testPy","","","test_login",""
"passed","Thu Apr 11 20:11:23 CST 2019","Thu Apr 11 20:11:23 CST 2019","0","scripts","test_setup&teardown_clas","testPy","","","test_move",""
"passed","Thu Apr 11 20:33:37 CST 2019","Thu Apr 11 20:33:37 CST 2019","0","scripts","test_setup&teardown_clas","TestPy","","","test_move",""
"passed","Thu Apr 11 20:33:37 CST 2019","Thu Apr 11 20:33:37 CST 2019","0","scripts","test_setup&teardown_func","","","","test_click",""
"passed","Thu Apr 11 20:33:37 CST 2019","Thu Apr 11 20:33:37 CST 2019","0","scripts","test_setup&teardown_clas","TestPy","","","test_qwe",""
